param_value,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_days,emergency_blocks
0.6,12234490.291582264,198956.8407061636,1684858.7030534826,14118305.83534191,334,18092
0.7,12612550.54831243,108440.39457925757,1161704.838650916,13882695.781542603,334,13473
0.8,13066889.568239965,-929.4375659925089,732252.3119301134,13798212.442604085,333,9036
0.9,13813925.734793903,-131843.35209675782,367204.69910154486,14049287.081798691,319,4609
0.95,14841849.294064987,-162521.76358415946,211398.10510194482,14890725.635582773,285,2610
