param_value,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_days,emergency_blocks
0.5,14920101.574696284,-39662.08621693473,688056.465077646,15568495.953556996,333,8663
0.75,13916141.314134376,-23895.179918385944,717746.1563397944,14609992.290555784,333,8916
1.0,13066889.568239965,-929.4375659925089,732252.3119301134,13798212.442604085,333,9036
1.5,11863956.429837884,1684.1413371443373,744487.5678823797,12610128.139057409,333,9138
2.0,11096405.242542038,-30948.25219112933,752737.7992880367,11818194.789638944,333,9223
