param_value,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_days,emergency_blocks
0.8,13590423.079206787,-21767.282054958203,735637.4505394903,14304293.247691318,333,9068
0.85,13322159.840730272,-11226.596592433283,734475.0171333473,14045408.261271186,333,9052
0.9,13066889.568239965,-929.4375659925089,732252.3119301134,13798212.442604085,333,9036
0.95,12820348.714268895,6956.8546229212825,731174.6312794322,13558480.200171247,333,9020
0.99,12610194.955038961,6006.688572417357,729003.4643680129,13345205.107979393,333,9010
