param_value,plan_cost,adjustment_cost,emergency_cost,total_cost,emergency_days,emergency_blocks
15,12935007.481737467,43429.29353530407,869463.3518638178,13847900.127136588,334,10630
30,13005900.542225903,8973.144340092113,776663.25381372,13791536.940379715,333,9729
60,13066889.568239965,-929.4375659925089,732252.3119301134,13798212.442604085,333,9036
90,13091450.01881028,3599.009496874814,708202.4750804998,13803251.503387654,333,8668
120,13101426.267630326,7421.080574350487,691481.033293693,13800328.381498368,334,8449
